paper_id,M,A,E,D,L,T,M_Justification,A_Justification,E_Justification,D_Justification,L_Justification,T_Justification
Aidin_Ferdowsi.txt,GAN,FED-GEN,EDGE/IoT,NET,FED,INFER,Uses a Generative Adversarial Network as the core generative model.,Federated generative modeling without raw data sharing ,Deployed on edge/IoT devices with decentralized sensing.,Works on network traffic/flow records.,Trains locally on devices with federated coordination.,Operates during inference to score live inputs.
Akim_Kotelnikov.txt,DIFF,PRIV,CLOUD,NET,UNSUP,TRAIN,Used a diffusion model to learn and sample from the data distribution.,Generates privacy-preserving surrogates to protect sensitive data.,Runs in centralized cloud or data-center environments.,Works on network traffic/flow records.,Trains without labels by modeling normal/data distributions.,Used at training time to enhance data or robustness.
Enyan_Dai.txt,FLOW,REP/UNSUP,CLOUD,GRAPH,UNSUP,INFER,Applies normalizing flows for exact likelihood-based density estimation.,Learns unsupervised latent features for anomaly detection.,Runs in centralized cloud or data-center environments.,Models graph-structured relations/dependencies.,Trains without labels by modeling normal/data distributions.,Operates during inference to score  live inputs.
Eunbi_Seo.txt,GAN,REP/UNSUP,EDGE/IoT,NET,UNSUP,INFER,Uses a Generative Adversarial Network as the core generative model.,Learns unsupervised latent features for anomaly detection.,Deployed on edge/IoT devices with decentralized sensing.,Works on network traffic/flow records.,Trains without labels by modeling normal/data distributions.,Operates during inference to score live inputs.
Hang_Shen.txt,HYB/RAG,DAUG,CLOUD,NET,SUP,TRAIN,Combines multiple generative components in a hybrid/retrieval-augmented design.,Synthesizes additional samples to balance/expand the training set.,Runs in centralized cloud or data-center environments.,Works on network traffic/flow records.,Trains with labeled benign/attack samples (supervised).,Used at training time to enhance data or robustness.
Mohamed_Amine_Merzouk.txt,DIFF,DEF,CLOUD,NET,UNSUP,INFER,Employs a diffusion model to learn and sample from the data distribution.,Denoises inputs as a generative defense.,Runs in centralized cloud or data-center environments.,Works on network traffic/flow records.,Trains without labels by modeling normal/data distributions.,Operates during inference to score live inputs.
Mohammad_Jamoos.txt,GAN,DAUG,CLOUD,NET,SUP,TRAIN,Uses a GAN as the core generative model.,Synthesizes additional samples to balance the training set.,Runs in centralized cloud or data-center environments.,Works on network traffic/flow records.,Trains with labeled benign/attack samples (supervised).,Used at training time to enhance data or robustness.
Nour_Alhussien.txt,DIFF,DEF,HYBRID,NET,UNSUP,ADAPT,Employs a diffusion model to learn and sample from the data distribution.,Denoises inputs as a generative defense.,Spans multiple layers (edge + cloud) or heterogeneous networks.,Works on network traffic/flow records.,Trains without labels by modeling normal/data distributions.,Supports adaptation or retraining after deployment.
Pardis_Sadatian_Moghaddam.txt,HYB/RAG,MULTI-MOD,EDGE/IoT,NET,SUP,TRAIN,Combines multiple generative components in a hybrid/retrieval-augmented design.,Integrates multiple data modalities within the generative pipeline.,Deployed on edge/IoT devices with decentralized sensing.,Works on network traffic/flow records.,Trains with labeled benign/attack samples (supervised).,Used at training time to enhance data or robustness.
Sahar_Aldhaheri.txt,GAN,TINT,CLOUD,NET,SELF/CONTR,RB-SIM,Uses a GAN as the core generative model.,Generates threat intelligence such as new attack patterns.,Runs in centralized cloud or data-center environments.,Works on network traffic/flow records.,Optimized via self/contrastive or reinforcement-style objectives.,Used offline for rule-based simulation/scenario generation.
Sultan_Zavrak.txt,VAE,REP/UNSUP,HYBRID,NET,SEMI,INFER,Uses a VAE to learn latent normal-behavior representations.,Learns unsupervised latent features for anomaly detection.,Spans multiple layers (edge + cloud) or heterogeneous networks.,Works on network traffic/flow records.,Uses limited labels with predominantly unlabeled data (semi-supervised).,Operates during inference to score live inputs.
